date,time,steps
2021-11-11,00:01,58
2021-11-11,00:06,5
2021-11-11,00:09,61
2021-11-11,00:14,5
2021-11-11,00:17,61
2021-11-11,00:22,5
2021-11-11,00:25,61
2021-11-11,00:30,5
2021-11-11,00:33,61
2021-11-11,00:38,5
2021-11-11,00:41,61
2021-11-11,00:46,5
2021-11-11,00:49,62
2021-11-11,00:54,5
2021-11-11,00:57,61
2021-11-11,01:02,5
2021-11-11,01:05,62
2021-11-11,01:10,5
2021-11-11,01:13,62
2021-11-11,01:18,5
2021-11-11,01:21,60
2021-11-11,01:26,5
2021-11-11,01:29,62
2021-11-11,01:34,5
2021-11-11,01:37,60
2021-11-11,01:42,5
2021-11-11,01:45,62
2021-11-11,01:50,5
2021-11-11,01:53,62
2021-11-11,01:58,5
2021-11-11,02:01,62
2021-11-11,02:06,5
2021-11-11,02:09,62
2021-11-11,02:14,5
2021-11-11,02:17,62
2021-11-11,02:22,5
2021-11-11,02:25,62
2021-11-11,02:30,5
2021-11-11,02:33,62
2021-11-11,02:38,5
2021-11-11,02:41,62
2021-11-11,02:46,5
2021-11-11,02:49,60
2021-11-11,02:54,5
2021-11-11,02:57,62
2021-11-11,03:02,5
2021-11-11,03:05,62
2021-11-11,03:10,5
2021-11-11,03:13,62
2021-11-11,03:18,5
2021-11-11,03:21,62
2021-11-11,03:26,5
2021-11-11,03:29,60
2021-11-11,03:34,5
2021-11-11,03:37,62
2021-11-11,03:42,5
2021-11-11,03:45,62
2021-11-11,03:50,5
2021-11-11,03:53,62
2021-11-11,03:58,5
2021-11-11,04:01,60
2021-11-11,04:06,5
2021-11-11,04:09,60
2021-11-11,04:14,5
2021-11-11,04:17,62
2021-11-11,04:22,5
2021-11-11,04:25,62
2021-11-11,04:30,5
2021-11-11,04:33,62
2021-11-11,04:38,5
2021-11-11,04:41,60
2021-11-11,04:46,5
2021-11-11,04:49,62
2021-11-11,04:54,5
2021-11-11,04:57,60
2021-11-11,05:02,5
2021-11-11,05:05,62
2021-11-11,05:10,5
2021-11-11,05:13,62
2021-11-11,05:18,5
2021-11-11,05:21,62
2021-11-11,05:26,5
2021-11-11,05:29,60
2021-11-11,05:34,5
2021-11-11,05:37,60
2021-11-11,05:42,5
2021-11-11,05:45,62
2021-11-11,05:50,5
2021-11-11,05:53,62
2021-11-11,05:58,5
2021-11-11,06:01,62
2021-11-11,06:06,5
2021-11-11,06:09,60
2021-11-11,06:14,5
2021-11-11,06:17,60
2021-11-11,06:22,5
2021-11-11,06:25,62
2021-11-11,06:30,5
2021-11-11,06:33,60
2021-11-11,06:38,5
2021-11-11,06:41,62
2021-11-11,06:46,5
2021-11-11,06:49,62
2021-11-11,06:54,5
2021-11-11,06:57,60
2021-11-11,07:02,5
2021-11-11,07:05,60
2021-11-11,07:10,5
2021-11-11,07:13,62
2021-11-11,07:18,5
2021-11-11,07:21,62
2021-11-11,07:26,5
2021-11-11,07:29,60
2021-11-11,07:34,5
2021-11-11,07:37,62
